,title,marque,image_principale,sku,description,prix,category,images,uniq_id,expiration
12,Kendall-Jackson Avant Unoaked Chardonnay White Wine - 750ml Bottle,Kendall-Jackson,https://target.scene7.com/is/image/Target/GUEST_22ed0cf9-d3f5-43da-84cb-ba13775255dd,14767807,"Kendall-Jackson Avant Unoaked Chardonnay White Wine is primarily sourced from California's Monterey County, Santa Barbara County and Mendocino County. This Kendall-Jackson Chardonnay wine combines crisp green apple, citrus and tropical fruit notes for the perfect dry white wine that is a superb accompaniment for food. It also has flavors and aromas of pineapple, juicy pear and wildflowers.

This youthful and lively white wine Chardonnay is handcrafted to be expressive, fruit forward and vibrant. It is 100% stainless steel fermented with a Stelvin screw cap closure helps to preserve the aromatic freshness and youthfulness of the wine. Pair this white wine Chardonnay with sushi, halibut, fried calamari and fish tacos for an excellent meal.

Kendall-Jackson is committed to producing only the finest quality wines from Chardonnay grape varietals grown in California. One aspect that distinguishes a Kendall-Jackson wine is vineyard sourcing. The majority of fruit sourced for Kendall-Jackson wines is grown on the 12,000 acres of estate vineyards owned by the Jackson family. All of the estate vineyards are certified sustainable by the CCSW (Certified California Sustainable Winegrowing) and SIP (Sustainability in Practice) programs. The proprietary approach to winemaking has earned Kendall-Jackson a world-renowned reputation for white wines that consistently exhibit signature rich layers of flavor, combined with a delicate balance.

This bottled wine has a 13.5% ABV.",13.99,"Wine, Beer & Liquor","['https://target.scene7.com/is/image/Target/GUEST_22ed0cf9-d3f5-43da-84cb-ba13775255dd ', ' https://target.scene7.com/is/image/Target/GUEST_06fa9dc9-d2fa-4afe-90e2-7d99fa0f459c ', ' https://target.scene7.com/is/image/Target/GUEST_1d5f8b78-c3f3-4f7f-9155-114a1b30eba5 ', ' https://target.scene7.com/is/image/Target/GUEST_eecab4f3-4fab-4951-b10b-e370e25bd71e ', ' https://target.scene7.com/is/image/Target/GUEST_16dea9e8-f247-418c-948a-c9af64fc4f4e ', ' https://target.scene7.com/is/image/Target/GUEST_1d5f8b78-c3f3-4f7f-9155-114a1b30eba5']",b5df4bb4-1f3c-51cc-bf9b-29b7d0240acc,2022-06-12
13,Royal Kona 100% Kona Medium Roast Whole Bean Coffee - 7oz,Royal Kona,https://target.scene7.com/is/image/Target/GUEST_14d5715e-3216-41d5-84f7-648dde78077a,47101090,"Natural Kona coffee is extremely rare and makes our 100% Kona coffee exceptionally special. The intricate process to harvest and mill the coffee beans gives our premium Kona coffee the delicious taste and silky mouthfeel you know and love. As with all Royal Kona Coffees, this blend is gluten-free and does not contain nut allergens. Supply of natural Kona coffee is extremely limited, so try this while you can!",19.69,Beverages,"['https://target.scene7.com/is/image/Target/GUEST_14d5715e-3216-41d5-84f7-648dde78077a ', ' https://target.scene7.com/is/image/Target/GUEST_f337c75f-c50f-4779-a44d-efc8f4b8c0ea ', ' https://target.scene7.com/is/image/Target/GUEST_3064bafe-e85f-49c0-ab79-af1b6e8378ba']",d521c3f0-fae1-5dec-b5a4-8e24c9b9d251,2022-06-12
14,Oroweat Sourdough English Muffins - 13oz,Oroweat,https://target.scene7.com/is/image/Target/GUEST_0c4e7b50-f3ef-42a4-8d35-a6ec6f97f9e3,47092807,"Oroweat sour dough english muffins are soft, tangy, and delicious when toasted. Top with butter or your favorite spread, and savor that old world sourdough flavor.",3.39,Bakery & Bread,"['https://target.scene7.com/is/image/Target/GUEST_0c4e7b50-f3ef-42a4-8d35-a6ec6f97f9e3 ', ' https://target.scene7.com/is/image/Target/GUEST_c350211f-bb6b-4bc5-85ac-3fbfbf6113e5 ', ' https://target.scene7.com/is/image/Target/GUEST_d73fb427-ca9d-4823-a4c2-ecccd5f3eb93 ', ' https://target.scene7.com/is/image/Target/GUEST_9f02e79f-b0a7-4056-ab26-a8d71940b254']",67aa02fe-1dbf-5b7d-9ba3-71aa407b7a78,2022-06-12
15,Kashi Go Peanut Butter Crunch Cereal - 13.2oz,Kashi,https://target.scene7.com/is/image/Target/GUEST_326f2c2e-a4ae-4c5a-a4b7-ced13674bdd5,52993997,"Treat yourself to the delicious taste of multigrain clusters bursting with peanut buttery goodness in every bite of Kashi GO Peanut Butter Crunch breakfast cereal. Includes 1, 13.2-ounce box of breakfast cereal. Whether it’s starting the morning with a quick and easy breakfast or enjoying as a midday snack, Kashi GO breakfast cereal delivers big peanut butter flavor that’s sure to please. Both vegan and Non-GMO Project Verified, each wholesome serving provides 10g of protein and 6g of fiber; Kashi GO breakfast cereal is the perfect way to power your day. Enjoy with your favorite milk or pair with fruit or yogurt for a delicious breakfast. For a portable snack, pack reusable baggies of Kashi GO Peanut Butter Crunch into your purse, lunch box or gym bag. Kashi GO Peanut Butter Crunch cereal also makes a great after dinner treat by the handful or as a topping on your favorite ice cream. Anytime is the right time for Kashi GO Peanut Butter Crunch cereal. Kashi is making planet-positive choices to lower our company’s impact on climate change. We measure the amount of emissions from the manufacturing plants that create our foods and invest in renewable energy projects and programs in the US that remove the same amount of emissions from the air.",3.99,Breakfast & Cereal,"['https://target.scene7.com/is/image/Target/GUEST_326f2c2e-a4ae-4c5a-a4b7-ced13674bdd5 ', ' https://target.scene7.com/is/image/Target/GUEST_6961e233-0959-4a65-971a-4338f2aca7d4 ', ' https://target.scene7.com/is/image/Target/GUEST_07a15de3-9c8f-40c9-9cea-d746a71e01f1 ', ' https://target.scene7.com/is/image/Target/GUEST_31b45b2f-a12b-4dbc-934c-3c35240b2fbd ', ' https://target.scene7.com/is/image/Target/GUEST_6d29ba97-dc75-489c-972c-6f5e97c67a3b ', ' https://target.scene7.com/is/image/Target/GUEST_07a15de3-9c8f-40c9-9cea-d746a71e01f1']",e421c31f-6557-5a82-b941-9f6f96fa622f,2022-06-12
16,Cholula Chili Garlic Hot Sauce - 5oz,Cholula,https://target.scene7.com/is/image/Target/GUEST_5efa4c75-4e9d-4ad0-bbb5-d11bc6704130,12992100,"Calling all garlic fans, this Cholula Chili Garlic Hot Sauce is a must try. The robust goodness of garlic comes alive when paired with Cholula's arbol and piquin peppers and signature spices. It's a natural fit on pasta, soups and believe it or not - popcorn. Uncap Real Flavor with Cholula Chili Garlic. Imported from Mexico. Made in Mexico.",3.39,Pantry,"['https://target.scene7.com/is/image/Target/GUEST_5efa4c75-4e9d-4ad0-bbb5-d11bc6704130 ', ' https://target.scene7.com/is/image/Target/GUEST_f6f51415-45c0-4beb-931f-cf2abdf9206f ', ' https://target.scene7.com/is/image/Target/GUEST_bd271fea-f62a-4612-9b3b-a6f063eb11f0 ', ' https://target.scene7.com/is/image/Target/GUEST_490e2cf2-06aa-4254-a387-37d4d1b8b03a ', ' https://target.scene7.com/is/image/Target/GUEST_e08c6998-8fbb-449f-94b4-301736bb3f18 ', ' https://target.scene7.com/is/image/Target/GUEST_bd271fea-f62a-4612-9b3b-a6f063eb11f0']",83e0929f-141c-5766-bffe-7f3af2503f78,2022-06-12
17,Yellow Tail Chardonnay White Wine - 1.5L Bottle,yellow tail,https://target.scene7.com/is/image/Target/GUEST_025e12b8-711c-44bc-828a-1d8e6463ae75,13463194,"Made in South Eastern Australia, [ yellow tail ] Chardonnay is a white wine that brings the flavors and essence of the region to your glass, ensuring a smile with each sip. This chardonnay is everything a great wine should be with its easy to drink, rich taste and vibrant flavor profile. Featuring fresh flavors of peach and melon with a hint of vanilla, this white wine is full bodied and silky smooth. Enjoy this white wine with roast chicken or salad greens. Take an adventurous approach to this bottle of wine by adding chardonnay wine to a cinnamon pear cocktail, perfect for sharing with friends. [ yellow tail ] wine is wonderful for livening up casual dinners with loved ones and bringing a lighthearted spirit to any and every event and celebration. This [ yellow tail ] wine bottle is 1.5 L and has a 13% ABV. Great quality wine can be affordable and good fun too. We like our wines to be vibrant, flavorsome and approachable, making everyday moments even more enjoyable. A wine for any occasion, [ yellow tail ] is easy to choose, drink and enjoy.",11.99,"Wine, Beer & Liquor","['https://target.scene7.com/is/image/Target/GUEST_025e12b8-711c-44bc-828a-1d8e6463ae75 ', ' https://target.scene7.com/is/image/Target/GUEST_8c809c8f-193d-4cee-aaf6-0f505c8af539 ', ' https://target.scene7.com/is/image/Target/GUEST_395439d3-a8fc-481e-a37f-ede149ab6e4e ', ' https://target.scene7.com/is/image/Target/GUEST_02cc0f4d-771e-4e74-8966-94e4dd952bb8 ', ' https://target.scene7.com/is/image/Target/GUEST_395439d3-a8fc-481e-a37f-ede149ab6e4e']",3871117a-9ef6-5ae8-8aee-9f59adde310d,2022-06-12
18,Bogle Vineyards Phantom Red Blend Wine - 750ml Bottle,Bogle Vineyards,https://target.scene7.com/is/image/Target/GUEST_0f5e7f06-c862-4680-b133-596f2509d33d,47134208,"Intriguing, beguiling... This mysterious apparition of ripe berry and relentless spice returns to haunt wine lovers. Enveloped in shadow, this wine's intensity and concentration will entice you with every sip. Full-bodied and jammy, Phantom's origins of Petite Sirah and Zinfandel emerge from the glass. Spicy pepper and juniper tantalize your senses, while black plums and blueberries emerge on the palate. Notes of pipe tobacco and clove settle around the finish, long and lingering, like Delta fog.",15.99,"Wine, Beer & Liquor","['https://target.scene7.com/is/image/Target/GUEST_0f5e7f06-c862-4680-b133-596f2509d33d ', ' https://target.scene7.com/is/image/Target/GUEST_7da04d65-ecb5-44eb-b4eb-26b520e917c6 ', ' https://target.scene7.com/is/image/Target/GUEST_0d895196-3b03-4d5d-83af-57860e381040 ', ' https://target.scene7.com/is/image/Target/GUEST_fe7681d7-8891-44c3-a35c-f30e76c98057 ', ' https://target.scene7.com/is/image/Target/GUEST_2e7a43ff-1bf6-4349-a472-1236b989a1f1 ', ' https://target.scene7.com/is/image/Target/GUEST_0d895196-3b03-4d5d-83af-57860e381040']",0f35b8d2-3485-5119-bc0f-c2d7c5642a43,2022-06-12
19,Alkaline Water - 1.5L Bottle - Good & Gather™,Good & Gather,https://target.scene7.com/is/image/Target/GUEST_310d542b-f9ad-4d35-8940-6845c5ea13f8,54511777,"Alkaline Water from Good & Gather™ is a great way to stay hydrated and refreshed no matter what your day has in store. This bottle of  purified water with electrolytes for taste will keep you feeling refreshed and hydrated, and it has a pH 9.5+ balance, making it the perfect choice for rehydrating after a demanding workout, a vigorous game of flag football or just a day spent out in the sun. Throw a bottle in your backpack or keep one in your gym bag to stay refreshed and hydrated before, during and after your workout, or keep a couple bottles on hand for thirst-quenching goodness no matter what's on your schedule. <br /><br />Every product that carries the Good & Gather™ name starts with quality ingredients that deliver great taste, making it easier for you and your family to eat well, every day. We promise you'll love each bite, or your money back.",1.69,Beverages,"['https://target.scene7.com/is/image/Target/GUEST_310d542b-f9ad-4d35-8940-6845c5ea13f8 ', ' https://target.scene7.com/is/image/Target/GUEST_7b4c63bf-a77a-49be-8eef-4ff3fa50a385 ', ' https://target.scene7.com/is/image/Target/GUEST_6ce70fed-9361-434e-acbf-6864e030d50a ', ' https://target.scene7.com/is/image/Target/GUEST_6ce70fed-9361-434e-acbf-6864e030d50a']",4e0bda65-4e92-5033-9f62-320165d38ef7,2022-06-12
20,Bud Light & Clamato Beer - 4pk/16 fl oz Cans,Bud Light,https://target.scene7.com/is/image/Target/GUEST_89c28d6f-c432-472d-a243-5b495396a83a,47135921,"Bud Light Chelada Light Beer combines the refreshing taste of Bud Light with the richness of a Clamato tomato cocktail. It follows the traditional brewing process for Bud Light, then Clamato is carefully blended with the beer to create the proper balance of the crisp finish of Bud Light and the signature taste of Clamato. Bud Light Chelada has a 4.2% ABV. Enjoy Bud Light Chelada beer anytime the occasion calls for refreshing drinks. To best enjoy, gently rotate the chilled can once before pouring. Then pour over ice into a traditional goblet-style glass and garnish with a slice of lime. The spicy beer pairs perfectly with many dishes, and is great for backyard gatherings with friends, family and food. Grab a pack of the convenient beer cans anytime you're looking for alcohol drinks.",6.99,"Wine, Beer & Liquor","['https://target.scene7.com/is/image/Target/GUEST_89c28d6f-c432-472d-a243-5b495396a83a ', ' https://target.scene7.com/is/image/Target/GUEST_e8147a40-ff95-4b86-9a8b-0ae52365bb55 ', ' https://target.scene7.com/is/image/Target/GUEST_0ceff277-73e3-4b0a-9b60-fbf3e4d3dc9a']",bfc3a92d-76dc-5448-89ba-9ce0eb84d8c0,2022-06-12
21,Budweiser Lager Beer - 6pk/16 fl oz Cans,Budweiser,https://target.scene7.com/is/image/Target/GUEST_3fa718ca-ae8c-4a92-a29c-b78da7c41516,47136126,"Budweiser beer is a medium-bodied, American-style lager beer. Brewed with high quality barley malt, a blend of premium hop varieties, fresh rice and filtered water, this American beer is crisp and full of flavor. Budweiser beer has a 5% ABV. 6 pack.",6.99,"Wine, Beer & Liquor","['https://target.scene7.com/is/image/Target/GUEST_3fa718ca-ae8c-4a92-a29c-b78da7c41516 ', ' https://target.scene7.com/is/image/Target/GUEST_5e0470be-e43e-4f95-a62f-450b65310ed7 ', ' https://target.scene7.com/is/image/Target/GUEST_6e456f25-8af2-419f-9c23-24c76c5ebf05 ', ' https://target.scene7.com/is/image/Target/GUEST_5831d3ec-6fc1-45eb-b482-c3dbcf9849e8']",ea8e0273-afe0-5056-92d8-ba52f93253fa,2022-06-12
22,Ore-Ida Just Crack an Egg Omelet Rounds Three Meat Egg Bites - 4.6oz,Ore-Ida,https://target.scene7.com/is/image/Target/GUEST_49045abf-b654-46cc-b312-51cc3c476c38,82224090,"A protein-packed breakfast to add some spring to your step? Get outta here! Enjoy a hot, fluffy omelet in under two minutes with Just Crack an Egg Omelet Rounds. Made with cage free eggs*, our Just Crack an Egg Omelet Rounds Three Meat Egg Bites are filled with pork sausage, uncured bacon, uncured ham and cheddar cheese. Our Three Meat Omelet Rounds are packed with 18 grams of protein per serving. For a quick and easy breakfast at home or on the go, simply remove the film, microwave in the tray for 50 seconds and let cool before eating. Try eating our egg bites cold for a protein-packed breakfast or snack anytime. Each fluffy omelet bite has no artificial flavors, dyes or preservatives. Keep our egg bites refrigerated until you’re ready to eat. 

*Made with eggs from chickens never confined to cages",3.19,Deli,"['https://target.scene7.com/is/image/Target/GUEST_49045abf-b654-46cc-b312-51cc3c476c38 ', ' https://target.scene7.com/is/image/Target/GUEST_23b3ade3-c9ad-4bac-ae2b-6424151b6936 ', ' https://target.scene7.com/is/image/Target/GUEST_b59eb64d-b01b-485d-822d-6ce4ba3e6119 ', ' https://target.scene7.com/is/image/Target/GUEST_0809683d-d51f-418c-8191-ec12416c57cc ', ' https://target.scene7.com/is/image/Target/GUEST_68ac8ba6-c7a5-4233-8dfc-302f0f6632bd']",67164d8b-9017-5a44-859a-8409d9d5da47,2022-06-12
23,Devils Backbone Vienna Lager Beer - 15pk/12 fl oz Cans,Devils Backbone Brewing Company,https://target.scene7.com/is/image/Target/GUEST_3c91dd5b-194b-4199-9052-16b0a42937ec,54085099,"Devils Backbone Brewing Company Vienna Lager is a beer with mild, toasted and caramel notes. This smooth, medium bodied and semi sweet craft beer is not too heavy or bitter. It has an amber chestnut color, a smooth, malty finish and a 5.2% ABV. 15 pack.",17.99,"Wine, Beer & Liquor","['https://target.scene7.com/is/image/Target/GUEST_3c91dd5b-194b-4199-9052-16b0a42937ec ', ' https://target.scene7.com/is/image/Target/GUEST_8e1c556e-5ac8-4e20-9883-1f56af778cb6 ', ' https://target.scene7.com/is/image/Target/GUEST_6d4167df-5b85-4b27-90e4-8280a987c113 ', ' https://target.scene7.com/is/image/Target/GUEST_df258c37-9012-47e5-a876-cf68a4f6c848 ', ' https://target.scene7.com/is/image/Target/GUEST_222c990d-fc81-48bf-bc6b-005390b87f8b']",e3b6a34f-f049-5056-b9f6-9b8c583d4208,2022-06-12
24,Good Culture Organic Whole Milk Classic Cottage Cheese - 16oz,good culture,https://target.scene7.com/is/image/Target/GUEST_32bc7b04-72e3-4dcf-865f-026e48806abe,82026075,"At Good Culture, our mission is to make real healing foods available to all, without hurting animals or our planet.  Made from stuff you can pronounce, produced by people who love the planet and really, really like cottage cheese.  The little black dress of the dairy world. You can never go wrong with a classic! Creamy Organic Cottage Cheese from pasture-raised cows. Our recipe for delicious is simple; we use organic milk, organic cream, celtic sea salt, and live & active cultures. Nothing else. Got it? Good.",4.99,Dairy,"['https://target.scene7.com/is/image/Target/GUEST_32bc7b04-72e3-4dcf-865f-026e48806abe ', ' https://target.scene7.com/is/image/Target/GUEST_37439ddf-bfab-4a68-951e-be8f098faf7d ', ' https://target.scene7.com/is/image/Target/GUEST_2541d74e-5409-48df-8afe-2374dc300a83 ', ' https://target.scene7.com/is/image/Target/GUEST_64a8545a-c54a-4270-ba03-d58fb584d346 ', ' https://target.scene7.com/is/image/Target/GUEST_23f74633-73c7-4058-8da9-56133bd2f1d4 ', ' https://target.scene7.com/is/image/Target/GUEST_2541d74e-5409-48df-8afe-2374dc300a83']",6a0b1575-13eb-5d96-8736-60857178927e,2022-06-12
26,Shake 'N Bake Extra Crispy Seasoned Coating Mix - 5oz,Shake 'N Bake,https://target.scene7.com/is/image/Target/GUEST_77d5ce57-e2ad-4b94-90a7-96cde23118a0,12953792,"Kraft Shake 'N Bake Extra Crispy Seasoned Coating Mix adds a crispy crust to your chicken without the mess of frying for a quick home-style meal. This crispy coating is perfectly seasoned with savory flavors for a delicious, irresistible crunch. For simple prep, moisten the chicken, shake it in the coating and bake it until it's fully cooked. Use it with bone-in or boneless chicken to make crispy baked chicken, a crispy chicken sandwich or easy chicken nuggets. Each 5 ounce box contains two pouches of chicken coating, so you can enjoy more than one family dinner over oven baked crispy chicken. This extra-crispy chicken seasoning is all you need to take your home-style chicken from good to incredible.",3.59,Pantry,"['https://target.scene7.com/is/image/Target/GUEST_77d5ce57-e2ad-4b94-90a7-96cde23118a0 ', ' https://target.scene7.com/is/image/Target/GUEST_0d0197a0-4a27-44e5-a878-cb77e4aa3804 ', ' https://target.scene7.com/is/image/Target/GUEST_ebf6e1ba-7933-4744-ac0d-83123b9b6290 ', ' https://target.scene7.com/is/image/Target/GUEST_39390dee-8a52-4bb0-876c-6c2d91ab894b ', ' https://target.scene7.com/is/image/Target/GUEST_f49cca74-5964-4c80-bee2-9f1328a5b37a']",bb0192ef-0dad-529b-a3ef-004c6cc8c805,2022-06-12
27,Old El Paso Gluten Free Crunchy Taco Shells - 6.89/18ct,Old El Paso,https://target.scene7.com/is/image/Target/GUEST_c2ac0ccd-c8c7-4f2f-93dc-c246889ddf78,13043722,"Feed the taco frenzy with an 18-count package of Old El Paso Crunchy Taco Shells. Made with only three ingredients, these gluten-free hard taco shells add a satisfying crunch to taco night. Simply add your favorite meats, cheeses, beans and fresh toppings for tasty tacos that are easily customized to make the whole family happy. Tonight, we taco!

For more than 80 years, Old El Paso has been bringing families and communities together to celebrate old and new traditions around delicious, Mexican-inspired flavors. We believe that any night can be a taco night, and we’re here to help make it a little easier and a lot more delicious. Our variety of crispy hard taco shells, tasty soft tortillas, flavorful seasonings, and much more help make taco night fun.",2.69,Bakery & Bread,"['https://target.scene7.com/is/image/Target/GUEST_c2ac0ccd-c8c7-4f2f-93dc-c246889ddf78 ', ' https://target.scene7.com/is/image/Target/GUEST_8ee99bc6-a5a9-44f3-83b0-88bc53f9f9b4 ', ' https://target.scene7.com/is/image/Target/GUEST_db6b4a55-e2e4-4f7e-a782-86ee2a2356e2 ', ' https://target.scene7.com/is/image/Target/GUEST_1e4f9e7d-e26b-4dc0-b07c-6c20f9e125aa ', ' https://target.scene7.com/is/image/Target/GUEST_d06a94e9-78e5-463e-8c1b-575f5c56560e ', ' https://target.scene7.com/is/image/Target/GUEST_db6b4a55-e2e4-4f7e-a782-86ee2a2356e2']",18971e18-0544-558d-8cea-0f62d3a6e922,2022-06-12
28,Del Monte Fresh Cut Sliced Carrots 8.25oz,Del Monte,https://target.scene7.com/is/image/Target/GUEST_379e1c4d-5594-4113-8086-1291c9080e3d,12935365,"The Del Monte Canned Sliced Carrot, with their flavor, complement All of your favorite recipes and different types of dishes, salads, drinks, and desserts. These delicious slices are a tasty topping for yogurt, cereal, salads, and your favorite flavored gelatin for a fun and tasty treat. The fruit, immersed in a Naturally refreshing fruit juice, will elevate any dish you make to another level. They contain much-needed nutrition apart from vitamins A and C. They also contain calcium and iron, which are beneficial for your body and health. The peach slices are the perfect snack to be eaten on-the-go and with whatever you desire. When you trust Del Monte, you can be sure what you're buying is the peak of quality and nutrition! The Del Monte name has been synonymous with premium foods since its debut in 1886. For generations, our company has proudly earned its reputation with a series of innovations and a singular dedication to quality. Today that commitment to quality is deeply embedded in our culture.",0.99,Pantry,"['https://target.scene7.com/is/image/Target/GUEST_379e1c4d-5594-4113-8086-1291c9080e3d ', ' https://target.scene7.com/is/image/Target/GUEST_1dd82afa-bba2-472f-975b-c1d662452f02 ', ' https://target.scene7.com/is/image/Target/GUEST_41acaa10-eb05-41cb-a27c-329ad287c4a9 ', ' https://target.scene7.com/is/image/Target/GUEST_902b9ff9-4656-4d22-a851-4a9ea7678ce3 ', ' https://target.scene7.com/is/image/Target/GUEST_41acaa10-eb05-41cb-a27c-329ad287c4a9']",049bb360-0550-5309-8c02-5f59de06f9df,2022-06-12
29,Summit Extra Pale Ale Beer - 12pk/12 fl oz Bottles,Summit Brewing Co.,https://target.scene7.com/is/image/Target/GUEST_ddd24e65-b712-4fa4-a98f-5341ff2de8fd,47912959,"Summit Extra Pale Ale is not a beer brewed only for beer snobs. Just the opposite. It’s a beer for everyone to enjoy: construction workers, stock brokers, farmers, sales people, clerks, teachers, lawyers, doctors, even other brewers. Its light bronze color and distinctly hoppy flavor have made it a favorite in St. Paul, Minneapolis and the rest of the Upper Midwest ever since we first brewed it back in 1986.12oz 12Pk",15.99,"Wine, Beer & Liquor","['https://target.scene7.com/is/image/Target/GUEST_ddd24e65-b712-4fa4-a98f-5341ff2de8fd ', ' https://target.scene7.com/is/image/Target/GUEST_74ffeec1-29e7-4625-967a-61ae142e32ab ', ' https://target.scene7.com/is/image/Target/GUEST_06e66c44-7ed1-435e-b170-3fc082014d38']",aa0bf0fb-f10e-5df2-81ef-57a5c3cde8ca,2022-06-12
30,Oikos Triple Zero Variety Pack Greek Yogurt - 6ct/5.3oz Cups,DANNON,https://target.scene7.com/is/image/Target/GUEST_cfd38a75-37e9-4cb2-9a4d-a2ce63b08e89,80859172,"Oikos Triple Zero Greek Nonfat Yogurt gives you all the flavor you seek in a Greek yogurt--but with 0 added sugar*, 0 artificial sweeteners, and 0 fat, with 15 grams of protein per 5.3 oz cup. Full of delicious strawberry (or mixed berry) flavor, this Greek nonfat yogurt makes a delicious snack any time of day. It also fits into a healthy lifestyle, providing important nutrients such as calcium, protein, and vitamin D. And for your convenience, Oikos Triple Zero Greek Nonfat Yogurt comes packaged in single-serve cups, perfect for snacking on the go. <br /><br /> <br />*Not a low-calorie food.<br />Discover yogurt and dairy products that are made for you with Oikos. Want the creamy one with the fruit chunks? We got you. Need 0 sugar, 0 artificial sweeteners, and 0 fat? Try Oikos Triple Zero. Looking for extra protein? Oikos Pro has 20g per serving. With our wide selection of creamy yogurts, you’re bound to find an epic food experience that sparks pure joy. Dig into deliciousness with Oikos.",5.29,Dairy,"['https://target.scene7.com/is/image/Target/GUEST_cfd38a75-37e9-4cb2-9a4d-a2ce63b08e89 ', ' https://target.scene7.com/is/image/Target/GUEST_970a81bd-eed0-45eb-a424-1c6ed9502419 ', ' https://target.scene7.com/is/image/Target/GUEST_456b0b48-d01b-4fbb-b0f5-7c70f6045baf ', ' https://target.scene7.com/is/image/Target/GUEST_3c03f32a-2e7f-4b46-9e1d-7245a00d8ca2 ', ' https://target.scene7.com/is/image/Target/GUEST_19dbe207-b13d-4776-a184-e52b2263c3b8']",b021ef51-2db4-524d-8e02-14ffbf3af826,2022-06-12
31,Sixpoint The Crisp Pilsner Beer - 6pk/12 fl oz Cans,Sixpoint Brewery,https://target.scene7.com/is/image/Target/GUEST_a9ea9eef-f2c0-4531-8aec-eda1dc1c367d,52162197,"Tettnang and Hallertau Hops, 100% sourced directly from Germany, give THE CRISP that signature floral aroma. Cargill Pilsner Malt is the backbone, and helps make the finish snappy and clean.<br />Legit pilz has a hop aroma that leaps from the glass   THE CRISP blasts you with a huge floral aroma, but finishes crisp, clean, and refreshing.",9.99,"Wine, Beer & Liquor","['https://target.scene7.com/is/image/Target/GUEST_a9ea9eef-f2c0-4531-8aec-eda1dc1c367d ', ' https://target.scene7.com/is/image/Target/GUEST_b9c5bc80-1a29-47c6-8c55-2d16c67ff1ac ', ' https://target.scene7.com/is/image/Target/GUEST_eb18c008-8646-4353-99cf-f632159d425a']",8b0652c8-4157-55b9-af71-0798dbd606b7,2022-06-12
32,Josh Pinot Grigio White Wine - 750ml Bottle,Josh Cellars,https://target.scene7.com/is/image/Target/GUEST_b8a83d1b-e4fc-4633-93e9-4828c3975c14,52051006,"Our Pinot Gris, from the cool climate of Washington, is expressive and crisp with flavors of citrus and mango.   Pairs well with sauteed scallops, fettucine alfredo or roasted butternut squash.",12.99,"Wine, Beer & Liquor","['https://target.scene7.com/is/image/Target/GUEST_b8a83d1b-e4fc-4633-93e9-4828c3975c14 ', ' https://target.scene7.com/is/image/Target/GUEST_fb19a6aa-3d81-44d2-a0ff-09fdc63fff71 ', ' https://target.scene7.com/is/image/Target/GUEST_ed214fb6-b229-4e5b-b67c-cfc8a877bbb4 ', ' https://target.scene7.com/is/image/Target/GUEST_5354a1f3-5ea0-4eab-b6ad-02691779400b ', ' https://target.scene7.com/is/image/Target/GUEST_ed214fb6-b229-4e5b-b67c-cfc8a877bbb4']",e9336bb2-7ce1-5776-b985-a45aa1b39469,2022-06-12
33,"McCormick Gluten Free Pink Sea Salt, Black Pepper, Garlic All Purpose Seasoning - 6.5oz",McCormick,https://target.scene7.com/is/image/Target/GUEST_9fea0459-511e-4f8a-9e04-c5a9119a944c,54468917,"McCormick Himalayan Pink Salt with Black Pepper and Garlic All Purpose Seasoning is made for the meals you’re eating today. With its unique blend of garlicky meets citrusy and sweet, it’s got just the right flavors for beef, chicken, meatless dishes and more. A flavorful blend of Himalayan pink salt, black pepper, garlic and lemon peel, this convenient seasoning can be added to dishes without even measuring. Shake it on in the kitchen, at the table or on the grill! Use it in the morning on avocado toast or breakfast wraps straight through to dinner in stir-fries, grain bowls and meat(less) dishes to dial up flavor in a big modern way. This versatile seasoning is sure to be a favorite!",4.49,Pantry,"['https://target.scene7.com/is/image/Target/GUEST_9fea0459-511e-4f8a-9e04-c5a9119a944c ', ' https://target.scene7.com/is/image/Target/GUEST_658bdd61-fc00-4209-be9e-09e9c2df32b8 ', ' https://target.scene7.com/is/image/Target/GUEST_b45370a9-f1e8-4f88-9940-ace02322582f ', ' https://target.scene7.com/is/image/Target/GUEST_c2015543-f3fc-4516-b831-7c930562326d ', ' https://target.scene7.com/is/image/Target/GUEST_098d5318-f68b-4064-a94b-1351b01833c3 ', ' https://target.scene7.com/is/image/Target/GUEST_b45370a9-f1e8-4f88-9940-ace02322582f']",9bed0cd2-6cd6-5c14-a746-3c5bbc133787,2022-06-12
